# Neutron scattering cross section data of natural elements and isotopes
# 
# Sources:
#    http://www.sisweb.com/referenc/source/exactmas.htm
# Z            charge number
# A            mass number, -1 for natural mixture of isotopes
# name         short atom name
# P            natural abundance, sum(P)=1
# bc           bound coherent scattering length (fm)
# mass         mass in g/mol
# sigma_coh    coherent cross section (barn)
# sigma_inc    incoherent cross section (barn)
# sigma_scatt  total cross section (barn)
# sigma_abs    thermal absorption cross section for thermal neutrons (barn)
#
  Z   A      P name     mass       bc  sigma_coh    sigma_inc sigma_scatt     sigma_abs
 62 147  0.151   Sm 146.9149  14.0000    25.0000   143.000000      39.000     57.000000
 62 148  0.113   Sm 147.9148  -3.0000     1.0000     0.000000       1.000      2.400000
 62 149  0.139   Sm 148.9172 -19.2000    63.5000   137.000000     200.000  42080.000000
 62 150  0.074   Sm 149.9173  14.0000    25.0000     0.000000      25.000    104.000000
 62 152  0.266   Sm 151.9197  -5.0000     3.1000     0.000000       3.100    206.000000
 62 154  0.226   Sm 153.9222   9.3000    11.0000     0.000000      11.000      8.400000
 63  -1 -1.000   Eu 151.9646   7.2200     6.5700     2.500000       9.200   4530.000000
 63 151  0.478   Eu 150.9199   6.1300     5.5000     3.100000       8.600   9100.000000
 63 153  0.522   Eu 152.9212   8.2200     8.5000     1.300000       9.800    312.000000
 64  -1 -1.000   Gd 157.2373   6.5000    29.3000   151.000000     180.000  49700.000000
 64 152  0.002   Gd 151.9198  10.0000    13.0000     0.000000      13.000    735.000000
 64 154  0.021   Gd 153.9209  10.0000    13.0000     0.000000      13.000     85.000000
 64 155  0.148   Gd 154.8226   6.0000    40.8000    25.000000      66.000  61100.000000
 64 156  0.206   Gd 155.9221   6.3000     5.0000     0.000000       5.000      1.500000
 64 157  0.157   Gd 156.9240  -1.1400   650.0000   394.000000    1044.000 259000.000000
 64 158  0.248   Gd 157.9241   9.0000    10.0000     0.000000      10.000      2.200000
 64 160  0.218   Gd 159.9271   9.1500    10.5200     0.000000      10.520      0.770000
 65  -1  1.000   Tb 158.9254   7.3800     6.8400     0.004000       6.840     23.400000
 66  -1 -1.000   Dy 162.4975  16.9000    35.9000    54.400000      90.300    994.000000
 66 156  0.001   Dy 155.9243   6.1000     4.7000     0.000000       4.700     33.000000
 66 158  0.001   Dy 157.9244   6.0000     5.0000     0.000000       5.000     43.000000
 66 160  0.023   Dy 159.9252   6.7000     5.6000     0.000000       5.600     56.000000
 66 161  0.190   Dy 160.9269  10.3000    13.3000     3.000000      16.000    600.000000
 66 162  0.255   Dy 161.9268  -1.4000     0.2500     0.000000       0.250    194.000000
 66 163  0.249   Dy 162.9287   5.0000     3.1000     0.210000       3.300    124.000000
 66 164  0.281   Dy 163.9292  49.4000   307.0000     0.000000     307.000   2840.000000
 67  -1  1.000   Ho 164.9303   8.0100     8.0600     0.360000       8.420     64.700000
 68  -1 -1.000   Er 167.2557   7.7900     7.6300     1.100000       8.700    159.000000
 68 162  0.001   Er 161.9288   8.8000     9.7000     0.000000       9.700     19.000000
 68 164  0.016   Er 163.9292   8.2000     8.4000     0.000000       8.400     13.000000
 68 166  0.334   Er 165.9303  10.6000    14.1000     0.000000      14.100     19.600000
 68 167  0.229   Er 166.9321   3.0000     1.1000     0.130000       1.200    659.000000
 68 168  0.271   Er 167.9324   7.4000     6.9000     0.000000       6.900      2.740000
 68 170  0.149   Er 169.9355   9.6000    11.6000     0.000000      11.600      5.800000
 69  -1  1.000   Tm 168.9342   7.0700     6.2800     0.100000       6.380    100.000000
 70  -1 -1.000   Yb 173.0342  12.4300    19.4200     4.000000      23.400     34.800000
